Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
"Hallelujahs : for Sunday-schools, singing schools, revivals, conventions and general use in Christian work and worship","Vaughan, James D.; Unseld, B. C.; Combs, W. W.; Vaughan, Charles W.; Vaughan, J. W.; Vaughan, G. K.; Jones, T. B.; Stamps, F. H.; Pace, A. M.; Grisham, R. N.; McGlamry, W. W.; Deaton, Otis; Thomason, J. P.; Hamilton, J. E.; McWhorter, M. D.; Stamps, V. O.; Welbert, W. B.; Stafford, C. C.; Carr, J. H.; Lenderman, J. C.; Dyess, T. Q.; Nipper, V. M.","Lawrenceburg, TN",James D. Vaughan,,,1922,Y,1922,,152 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,SBTS; MTSU?,SBTS,,Y,Y,,
Songs of the coming king,"Winsett, R. E.","Fort Smith, AR",R. E. Winsett,,,1922,Y,1922,,approx. 150,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Bright gems : a superior collection of gospel songs for general use,"Ruebush, Will H.; Beazley, Samuel W.; Ruebush, James H.","Dayton, VA",Ruebush-Kieffer Co.,,,1923,Y,1923,,147 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU; Emory,MTSU (OPAC),Y,Y,,,Printed in shaped notes only
"Cokesbury hymnal, The : For general use in religious meetings","Todd, Harold Hart","Nashville, TN",Cokesbury Press,,,1923,Y,1923,Shaped note,unpaged,21,,"Methodist (MEC,S)",Seven-shape,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,Y,,,,,MTSU,MTSU (OPAC),Y,,Y,,Unclear if MTSU local copy or SBTS copy are shape vs. round edition
Christ exalted in song,"Winsett, R. E.","Dayton, TN",R. E. Winsett,,,1924,Y,1924,,158,21,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,SBTS; MTSU?,SBTS,,Y,Y,,"MTSU local catalog gives assigned place of publication as Chattanooga--unclear if it is one of these imprints, or a third one"
Crowns of glory : a book of gospel songs for Christian work and worship,"Dean, Emmett S.; Gaines, James W.; Edmiaston, B. B.","Waco, TX",Trio Music Company,,,1924,Y,1924,,171 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Gospel light,"Smith, Woodie Washington; English, Joe W.","Fort Worth, TX",Woodie W. Smith Co.,,,1924,Y,1924,Revival ed.,96,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,SBTS; MTSU?,SBTS,,Y,Y,,
Gospel sunshine for the song service,"Bateman, B. B.; Bateman, G. M.","Knoxville, TN",Bateman Brothers,,,1924,Y,1924,,198 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,SBTS,SBTS,,,Y,,
"Harvest hymns : singable gospel songs for general use in churches, schools, young people's meetings and evangelistic services ; church hymns, revival songs, children's melodies, solos, duets and choruses","Coleman, Robert H.","Dallas, TX",Coleman,,,1924,Y,1924,(Round note ed.),264,21,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,Y?,,,,,Y,,SBTS,SBTS,,,Y,,
"Living words : a collection of sacred songs, both new and old, for the church, the Sunday school, the revival meeting, the singing convention, and all kinds of religious work and worship","Helton, Alfred E.","Hudson, NC",Teachers' Music Pub. Co.,,,1925,,1924,,"unpaged, 189 songs",19,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (OPAC),,Y,,,
"Our joyful praise : for church, Sunday school, revival and young peoples' work","Thomas, Alvis O.; Fisher, Albert C.","Fort Worth, TX",Quartet Music,,,1924,Y,1924,,160,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,SBTS,SBTS,,,Y,,
"Shining way, The","Showalter, A. J.","Dalton, GA; Chattanooga, TN; Texarkana AR; Texarkana, TX",A. J. Showalter Co.,,,1924,Y,1924,,unpaged,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
"Singing way, The","Showalter, A. J.","Dalton, GA",A. J. Showalter Co.,,,1924,Y,1924,,unpaged,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
"Song praise : for Sunday school, revival and young people's work","Thomas, J. E.","Fort Worth, TX",Quartet Music Co.,,,1924,Y,1924,,156,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,SBTS,SBTS,,,Y,,
Waves of glory : the best songs for the best people,"Winsett, R. E.","Ft. Smith, AR",R. E. Winsett,,,1924,Y,1924,,47,19,,Pentecostal,Seven-shape,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,Southern Nazarene University; Freed-Hardeman University; University of North Carolina at Chapel Hill,OCLC,,,,,
Joy bells : for christian work and worship,"Dean, Emmett S.; Gaines, James W.; Edmiaston, B. B.","Waco, TX",Trio Music Co.,,,1925,Y,1925,,unpaged,19,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
Signal bells for the song service,"Bateman, B. B.; Allphin, N. W.; Bateman, G. M.; Fowler, Elbert B.; Culpepper, E. D.; Moore, J. C.; Lawhon, P. D.; Hundley, G. T.; Jolley, E. F.; Graves, W. J.; Frye, Harkins; Henson, J. M.; Pirle, R. L.; Fossett, V. O.","Knoxville, TN; Texarkana, AR; Abilene, TX",Bateman Brothers,,,1925,Y,1925,,198 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,SBTS; MTSU?,SBTS,,Y,Y,,
Soul inspiring songs,"Winsett, R. E.?","Dayton, TN",R. E. Winsett Music Co.,,,1929,Y,1929,,160,21,,,Seven-shape,English,Sacred,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Appalachian State University; SBTS; University of North Carolina at Chapel Hill; Drew University,OCLC,,,Y,,
200 popular songs and hymns,"Showalter, A. J.","Dalton, GA",A. J. Showalter,,,1918,,,,202 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,Y?,,,,,,SBTS,SBTS,,,Y,,
"All for Christ : for the church, Sunday school, evangelistic services and conventions","Ganus, W. P.; Burton, W. F.; Cook, J. H.","Tuscaloosa, AL; Birmingham, AL","Tuscaloosa Music Co.; W. P. Ganus, music publishers",,,1924,Y,,,"unpaged, 246 songs",?,,,Seven-shape,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (OPAC),,Y,,,
Apostolic hymns,"Kirkland, J. V.; Kirkland, R. S.","Nashville, TN","Publishing House, M. E. Church, South",,,1898,,,,?,?,,"Methodist (MEC,S)--Holiness influence?",Seven-shape,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
Awakening echoes : a choice collection of gospel songs,?,"Nashville, TN",National B.Y.P.U. Board,,,192?,Y,,,unpaged,21,,Baptist (NBC),Seven-shape,English,Sacred,Y?,Y?,,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y,,University of Missouri-Kansas City; University of Memphis; Virginia Union University,OCLC,,,,,
Awakening praises,"Vaughan, James D.","Lawrenceburg, TN",James D. Vaughan,,,1923,,,,?,?,,,Seven-shape,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,
"Best of all : a superior and varied collection of Gospel songs and hymns for Sunday schools, church services, prayer meetings, revival meetings, young people's societies and all kinds of religious work","Beazley, Samuel W.; Ruebush, J. H.","Dayton, VA",Ruebush-Kieffer Co.,,,1907,,,,250,21,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,SBTS; Emory; MTSU?,SBTS,Y,Y,Y,,
Best revival hymns,"Fisher, Albert C.","Nashville, TN","Methodist Episcopal Church, South Association of General Evangelists",Cokesbury Press,,1924,,,,126 nos.,21,,"Methodist (MEC,S)",Seven-shape,English,Sacred,Y,,,,,,Y,,,,,,Y,,Y,,,,,,Y,,,,,,,,SBTS; Emory; MTSU,SBTS,Y,Y,Y,,"Unclear whether MTSU copy (found, confusingly, in both local and OPAC) is round or shape-note ed."
"Call, The : a new sacred song book for the choir, evangelist, Sunday school, endeavors, leagues, home circles, etc.","Thomas, J. E.; Frazier, William C.; Cobb, T. S.","Fort Worth, TX",Quartette Company,,,189?,Y,,,153 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,SBTS,SBTS,,,Y,,
Carols of glory,?,"Nashville, TN",National B.Y.P.U. Board,,,192?,Y,,,48,21,,Baptist (NBC),Seven-shape,English,Sacred,Y?,Y?,,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y?,,University of North Texas; Southwest Baptist Theological Seminary; University of Alabama,OCLC,,,,,
Carols of peace : for Christian work and worship,"Gaines, James W.; Dean, Emmet S.; Tyess, Tony Q.; Francis, Onie L.; Lee, Robert E.; Hall, T. E.; Cundiff, O. H.; Benton, Thomas; Williams, Curtis J.; Sebren, George W.; McWhorter, M. D.; Carr, J. H.; Cassady, V. P.; Benne, Charles W.; Polan, J. W.","Waco, TX; Memphis, TN",Trio Music Co.,,,1919,,,,165 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,SBTS; MTSU?,SBTS,,Y,Y,,
Carols of victory : a book of select Gospel songs for Christian work and worship,"Dean, Emmett S.","Waco, TX",Trio Music Co.,,,1911,Y,,,174,19,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,Y,,SBTS record lists 172 pp.
Choice gospel hymns : a collection of over three hundred hymns for all occasions of Christian work and worship,"Mosley,T. B.; Pullias, C. M.; Pittman, S. P.","Nashville, TN",Gospel Advocate Co.,,,1923,,,,286,22,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Emory; SBTS; MTSU?,Emory,Y,Y,Y,,
"Christian harmony, The : in the seven-syllable character note system of music ... hymn and psalm tunes, odes and anthems, selected from the best authors in Europe and America; together with a large number of new tunes, from eminent composers, never before published : embracing a great variety of metres suited to the various hymn and psalm books used by the different denominations of Christians; adapted to the use of singing schools, choirs, social and private singing societies : also a copious elucidation of the science of vocal music, and plain rules for beginners","Walker, William","Philadelphia, PA; Spartanburg, SC",E. W. Miller Co.,J. Fagan and Son,"Claxton, Remsen & Haffelfinger [and 12 others]",1867,,,,384,17,26,,Seven-shape,English,Sacred,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,SBTS; Emory,SBTS,Y,,Y,,
"Christian harmony, The : in the seven-syllable character note system of music ... hymn and psalm tunes, odes and anthems, selected from the best authors in Europe and America; together with a large number of new tunes, from eminent composers, never before published : embracing a great variety of metres suited to the various hymn and psalm books used by the different denominations of Christians; adapted to the use of singing schools, choirs, social and private singing societies : also a copious elucidation of the science of vocal music, and plain rules for beginners","Walker, William","Philadelphia, PA; Spartanburg, SC",Miller,,,1873,,,,384,17,26,,Seven-shape,English,Sacred,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,Emory,Emory,Y,,,,"Emory record has mysterious note suggesting that one or more copies may be ""enclosed in the boards of a different hymnal"""
"Christian harp and Sabbath school songster, The : designed for the use of the social religious circle, revivals, and the Sabbath school",?,"Singers Glen, VA","Ruebush, Kieffer & Co.",,,1869,Y,,9th ed.,128,12,17,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,UK; MTSU?,UK,,Y,,Y,"Edition note from UK record, date from MTSU record--each lacking the other"
"Christian minstrel, The : a new system of musical notation : with a collection of psalm tunes, anthems, and chants selected from the most popular works in Europe and America designed for the use of churches, singing-schools, and societies","Aikin, J. B.","Philadelphia, PA; Lancaster, PA; New York, NY; Boston, MA; Cincinnati, OH; Columbus, OH; Wheeling, WV [sic?]","T. K. Collins, Jr.; E. C. & J. Biddle; T. K. & P. G. Collins; Judd & Murray; J. Long & Bro.; Fetridge & Co.; D. Anderson; S. N. Whiting & Huntington; John Fisher",,,1851,,,20th,414,16,25,,Seven-shape,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,,,MTSU,MTSU (OPAC),,Y,,,
"Christian minstrel, The : a new system of musical notation : with a collection of psalm tunes, anthems, and chants selected from the most popular works in Europe and America designed for the use of churches, singing-schools, and societies","Aikin, J. B.","Philadelphia, PA; Lancaster, PA; New York, NY; Boston, MA; cincinnati, Oh; Columbus, OH; Wheeling, WV [sic?]",T. K. Collins; E. C. and J. Biddle; T. K. and P. G. Collins; Murray and Stock; H. Long and Brothers; Fetridge and Co.; D. Anderson; S. N. Whiting and Huntington; John Fisher,,,1853,,,46th,416,16,25,,Seven-shape,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,,,MTSU; SBTS,MTSU (OPAC),,Y,Y,,"The ""and Huntington"" in publishers (from MTSU local record) may be meant to be Huntington, VA"
"Christian minstrel, The : a new system of musical notation : with a collection of psalm tunes, anthems, and chants selected from the most popular works in Europe and America designed for the use of churches, singing-schools, and societies","Aikin, J. B.","Philadelphia, PA; Lancaster, PA; New York, NY; Wooster, OH; Cincinnati, OH; Pittsburgh, PA; Wheeling, WV [sic?]","T. K. Collins; E. C. and J. Biddel; T. K. and P. G. Collins; H. Long and Brother; Moore, Wilstach, Keys and Co.; John Fisher",,,1857,Y,,,412,16,25,,Seven-shape,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,,,MTSU,MTSU (OPAC),,Y,,,MTSU copy imperfect
"Christian minstrel, The : a new system of musical notation : with a collection of psalm tunes, anthems, and chants selected from the most popular works in Europe and America designed for the use of churches, singing-schools, and societies","Aikin, J. B.","Philadelphia, PA",Collins,,,1865,,,,412,16,26,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,MTSU,MTSU (OPAC),,Y,,,
Crown him king,?,"Tallahassee, FL",Florida Song-Book Co.,,,1928,,,,158,20,,,Seven-shape,English,Sacred,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Duke University,OCLC,,,,,
"Crowns : a collection of church, Sunday school and revival hymns","Excell, E. O.; Everett, W. C.","Nashville, TN","Pub. House M. E. Church, South",Smith & Lamar,,1915,Y,,,224,20,,"Methodist (MEC,S)",Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,Emory; SBTS; MTSU,Emory,Y,Y,Y,,
Down at the cross,"Dortch, D. E.","Charlotte, NC",Dortch Pub. Co.,,,1914,,,,323 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,SBTS; Emory,SBTS,Y,,Y,,
Echoes of John B. Vaughan,"Vaughan, John B.?","Athens, GA; Cincinnati, OH",Mrs. John B. Vaughan,Armstrong Printing,,1918,Y,,,201 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,Emory has two copies on separate yet functionally identical records
"Emerald, The : a book of songs, hymns, anthems, chants, and concert pieces for the Sunday-school : with occasional pieces for the choir","Haygood, Atticus G.; McIntosh, R. M.","Nashville, TN",Southern Methodist Publishing House,,,1881,,,Round note ed.,176,15,18,"Methodist (MEC,S)",Seven-shape,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,Y?,,,,,Y,,Emory,Emory,Y,,,,
"Eureka carols : an excellent and varied collection of sacred songs, solos, duets, quartets, for use in Sunday schools, gospel meetings, revival services, and all religious gatherings ... Containing the rudiments of music","Oslin, S. J.; Lindsey, G. L.; Young, G. L.; Smith, J. H.; Sides, W. J.; Smith, W. J.; Key, J. T.; Key, H. A.; McAlister, J. D.; Lincoln, H. N.","Dallas, TX; Cincinnati, OH",Songland Co.,,,1901,Y,,Shaped note ed.,unpaged,21,,,Seven-shape,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,Y,,Y,,,,Y,,Emory; MTSU,Emory,Y,Y,,,
"Fillmores' gospel songs : for young people's meetings, prayer meetings, revival meetings and Sunday-schools","Hartsough, Palmer; Fillmore, J. H.","Cincinnati, OH",Fillmore Bros.,,,1898,,,,190,21,,Restorationist,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU; Emory,MTSU (OPAC),Y,Y,,,"The two MTSU catalogs disagree on whether it is ""Fillmore's"" or ""Fillmores'"""
Fruits and flowers : a collection of tunes and songs for common and Sunday-schools,"Walker, William","Philadelphia, PA; Spartanburg, SC",J. B. Lippincott,,,1873,,,,192,14,18,,Seven-shape,English,Mixed,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
"G. V. hymnal, The","Dortch, D. E.","Columbia, TN",Dortch Publishing Co.,,,1906,Y,,,"unpaged, approximately 500 hymns",20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (OPAC),,Y,,,"Includes specimen pages of Hymns of Victory ; Choice Songs, No. 2 ; Dortch's Gospel Voices, No. 1 ; Dortch's Gospel Voices, No. 2 ; Old Time Songs ; Dortch's Gospel Voices, No. 3 ; Shorts Talks on Music."
"Gabriel's Sunday school songs no. 1 : suitable for prayer, praise and gospel meetings","Gabriel, Charles H.",VA,"Ruebush, Kieffer & Co.",,,1878,,,,47,15,18,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,UK,UK,,,,Y,
Gathered leaves : prepared for the Sunday-schools and revival meetings,"Vaughan, J. B.; Ferrell, F. M.","Elberton, GA",J. B. Vaughan & Co.,,,ca. 1890-1909,Y,,,47,16,20,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,University of Georgia,OCLC,,,,,
Gems of gladness : for sabbath schools and praise meetings,"Ruebush, James H.; Welhorne, R. C.; Hildebrand, E. T.; Miller, B. C.","Dayton, VA",Ruebush & Kieffer,,,1888,Y,,,48,15,19,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,UK,UK,,,,Y,
Georgia jubilee songs no. 1,?,"Atlanta, GA",Henson Music Co.,,,19??,Y,,,unpaged,20,,Assemblies of god,Seven-shape,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,Y?,,,Regent University,OCLC,,,,,
Glory songs,"Benson, John T.; Benson, Mrs. John T.","Nashville, TN",Pentecostal Mission Pub. Co.,,,1916,Y,,,243 nos.,20,,Pentecostal,Seven-shape,English,Sacred,Y,,,,,,Y?,,,,Y,,Y,,,,,,,,,,,,,,,,Southwestern Baptist Theological Seminary; University of Texas at Arlington; Asbury Theological Seminary; Drew University; MidAmerica Nazarene University; Southern Illinois University; Arizona State University; Goshen College; Ohio State University Libraries; Point Loma Nazarene University; Pittsburgh Theological Seminary; Seattle Pacific University; Drew University,OCLC,,,,,
"Golden gems : a songbook for spiritual and religious worship for the church, the choir, the pew, the Sunday school and the various auxiliaries",?,"Nashville, TN",National Baptist Pub. Board,,,19??,Y,,,127,20,,Baptist (NBC),Seven-shape,English,Sacred,?,Y?,,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y,,University of North Texas; Pittsburgh Theological Seminary; New York Public Library System,OCLC,,,,,
"Good old songs, The : a choice collection of the good old hymns and tunes as they were sung by our fathers and mothers : the cream of the old music : selections suitable for class practice and all occasions of family worship, social, church, or congregational singing","Cayce, C. H.","Thornton, AR",Cayce Publishing Company,,,1914,,,,444,22,,Baptist (Primitive),Seven-shape,English,Sacred,Y,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,"Auburn University; Samford University; Georgia Southern University; Gardner-Webb University; Vanderbilt University; Appalachian State University; Berea College; University of Kentucky; University of North Carolina at Chapel Hill; Duke University; Cincinnati Christian University; Southeastern Baptist University; Liberty University; West Virginia University; University of Illinois at Urbana Champaign; West Liberty University; Regent University; Pittsburgh Theological Seminary; Northern Seminary; Stylberg Library; University of Missouri-Kansas City; Buffalo and Erie County Public Library; Princeton University Library; Westminster Choir College of Rider University; Southern Methodist University; New York Public Library System; Oklahoma Christian University; Southwestern Baptist Theological Seminary; Baylor University Libraries; Southern Nazarene University; University of Texas Libraries; Yale University Library; University of Hartford Libraries; Abilene Christian University; Brown Library; University of Minnesota, Minneapolis; Bethel University Libraries; Denver Public Library; University of Colorado Boulder; Arizona State University; California Baptist University; University of California, San Diego; University of California, Los Angeles; University of California, Davis; University of California, Santa Barbara; University of British Columbia",OCLC,,,,,
Gospel carols : a choice collection of gospel songs,?,"Nashville, TN",National B.Y.P.U. Board,,,1923-1933,Y,,,171 nos.,20,,Baptist (NBC),Seven-shape,English,Sacred,Y?,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,,,Y,,Emory; University of Missouri-Kansas City; University of Alabama,Emory,Y,,,,Emory digitization unit judged to be under copyright in 2015
"Gospel message in song : for church, revival, Sabbath school and other religious services","Williams, Oliver E.; Williams, Mrs. Oliver E.; Ruebush, W. H.; Ruebush, J. H.; Shirley, L. Garland; Long, J. Owen","Dayton, VA",Ruebush-Kieffer Co.,,,1921,Y,,,160,21,,,Seven-shape,English,Sacred,Y,,,,,,,,,,Y,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (OPAC),,Y,,,MTSU copy imperfect?
"Gospel message in song, The","Hall, Flavil","Cincinnati, OH",F. L. Rowe,,,1910,,,Revised and enlarged ed.; shaped note ed.,205 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU; Emory,MTSU (OPAC),Y,Y,,,
Gospel praise : a collection of new and old hymns and tunes for all occasions of Christian work and worship,"Showalter, A. J.; Sewell, E. G.","Nashville, TN",Gospel Advocate Pub. Co.,,,1900,,,,?,?,,Restorationist?,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,MTSU has copies under two different call numbers
Gospel praise : a collection of new and old hymns and tunes for all occasions of Christian work and worship,"Showalter, A. J.; Sewell, E. G.","Nashville, TN",?,McQuiddy,,1909,,,,320,21,,Restorationist?,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Gospel songs,"Acuff, James W.; Evridge, William D.","Waco, TX; Memphis, TN",Trio Music Co.,,,1909,Y,,,approx. 250,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,UK; MTSU,UK,,Y,,Y,
"Gospel voices : for Sunday-schools, church services, gospel and evangelistic meetings, young people's societies, special occasions, etc.","Dortch, D. E.","Nashville, TN",South-Western Publishing House,,,1895,,,,unpaged,21,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,Y,,Emory,Emory,Y,,,,
"Grace and glory : a choice collection of sacred songs, original and selected, for Sabbath-schools, revivals, etc.","Dortch, D. E.; Cunnyngham, W. G. E.","Nashville, TN",Southern Methodist Pub. House,,,1886,,,,160,15,18,"Methodist (MEC,S)",Seven-shape,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,Y,,Emory,Emory,Y,,,,
"Harbor bells [no. 1] : our 1925 book for Sunday-schools, singing schools, revivals, conventions, and general use in all religious gatherings","Stamps, Virgil O.; Baxter, J. R., Jr.; Benton, Thomas J.; Nipper, V. M.; Rippetoe, Ernest; ""the Kitts Brothers""; Lazenby, Edd; Huffstutler, L. D.; Jimerson, J. L.","Dallas, TX; Pangburn, AR; Chattanooga, TN",Stamps-Baxter Music & Printing Co.,,,1925,,,,160,20,,,Seven-shape,English,Sacred,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,SBTS; MTSU,SBTS,,Y,Y,,
"Harmonia sacra : being a compilation of genuine church music ; comprising a great variety of metres, all harmonized for four voices ; together with a copious explication of the principles of vocal music ; exemplified and illustrated with tables in a plain and comprehensive manner","Funk, Joseph","Singers Glen, VA; Bremen, OH",Joseph Funk's Sons; H. B. Brenneman,,,1866,,,11th ed.,360,15,23,Mennonite,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Emory; MTSU?,Emory,Y,Y,,,
"Harmonia sacra : being a compilation of genuine church music ; comprising a great variety of metres, all harmonized for four voices ; together with a copious explication of the principles of vocal music ; exemplified and illustrated with tables in a plain and comprehensive manner","Funk, Joseph","Singers Glen, VA",Joseph Funk's Sons,,,1867,,,,360,16,25,Mennonite,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Emory,Emory,Y,,,,
"Harmonia sacra : being a compilation of genuine church music, comprising a great variety of metres, all harmonized for three voices, together with a copious explication of the principles of vocal music","Funk, Joseph","Mountain Valley, VA",The author,,,1858,,,9th,approx. 344,14,24,Mennonite,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,MTSU,MTSU (OPAC),,Y,,,MTSU copy possibly imperfect
"Harmonia sacra : being a compilation of genuine church music, comprising a great variety of metres, all harmonized for three voices, together with a copious explication of the principles of vocal music","Funk, Joseph","Singers Glen, VA",Joseph Funk's Sons,,,1869,,,13th ed.,360,16,25,Mennonite,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Emory,Emory,Y,,,,
"Harvest bells nos. 1, 2 and 3 combined is filled with new and beautiful songs suitable for sabbath schools, revival and all religious meetings","Penn, W. E.","St. Louis, MO",W. E. Penn,,,1890,Y,,Shaped note ed.,367,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,SBTS; Emory; MTSU?,SBTS,Y,Y,Y,,Unknown whether MTSU copy is also shape-note ed.; Emory and SBTS copies are
"Harvester, The : a book of sacred songs : compiled for revival work, Sunday schools and young people's meetings","Thomas, J. E.; Flint, B.; Hultsman, B. N.; Laney, W. J.; Cobb, T. S.","Fort Worth, TX",Quartette Company,,,1900,Y,,,154 nos.,20,,,Seven-shape,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,SBTS,SBTS,,,Y,,
